iter	Passed	Remaining
0	203	203770
1	207	103563
2	210	70053
3	213	53268
4	217	43380
5	221	36698
6	224	31903
7	228	28357
8	232	25560
9	235	23265
10	237	21398
11	241	19852
12	244	18539
13	247	17410
14	250	16428
15	253	15568
16	256	14806
17	259	14139
18	262	13537
19	265	12997
20	268	12503
21	271	12057
22	274	11650
23	277	11265
24	280	10924
25	283	10607
26	286	10329
27	290	10077
28	293	9835
29	297	9615
30	300	9403
31	303	9190
32	306	8991
33	309	8802
34	312	8627
35	316	8480
36	319	8317
37	322	8171
38	325	8031
39	329	7904
40	332	7772
41	336	7672
42	340	7567
43	343	7465
44	346	7363
45	350	7273
46	353	7176
47	357	7086
48	362	7045
49	368	7005
50	372	6936
51	376	6866
52	381	6819
53	386	6773
54	391	6723
55	402	6786
56	410	6792
57	416	6770
58	422	6745
59	427	6690
60	431	6643
61	434	6580
62	438	6515
63	441	6460
64	446	6420
65	449	6363
66	452	6304
67	454	6228
68	460	6211
69	463	6162
70	467	6110
71	470	6062
72	475	6041
73	478	5993
74	482	5949
75	488	5935
76	491	5894
77	495	5859
78	499	5821
79	514	5919
80	537	6095
81	543	6081
82	549	6075
83	561	6118
84	566	6100
85	571	6071
86	573	6018
87	577	5982
88	586	6001
89	588	5951
90	590	5903
91	593	5854
92	596	5815
93	598	5769
94	600	5719
95	601	5668
96	603	5616
97	604	5565
98	607	5528
99	609	5482
100	612	5450
101	613	5398
102	614	5352
103	616	5307
104	617	5262
105	618	5217
106	619	5173
107	620	5128
108	622	5085
109	623	5042
110	624	4999
111	627	4971
112	628	4932
113	629	4892
114	630	4852
115	631	4811
116	632	4773
117	633	4735
118	634	4696
119	635	4659
120	636	4623
121	637	4588
122	638	4549
123	640	4522
124	642	4494
125	643	4462
126	644	4430
127	645	4396
128	646	4364
129	647	4334
130	648	4304
131	650	4275
132	651	4245
133	652	4215
134	653	4186
135	656	4170
136	658	4145
137	659	4117
138	660	4091
139	661	4064
140	662	4037
141	663	4011
142	664	3984
143	665	3958
144	666	3932
145	668	3907
146	670	3893
147	672	3873
148	674	3851
149	675	3827
150	676	3804
151	677	3780
152	678	3757
153	679	3734
154	680	3711
155	681	3689
156	682	3667
157	685	3655
158	687	3635
159	688	3614
160	689	3593
161	692	3581
162	693	3560
163	694	3540
164	695	3520
165	696	3500
166	697	3481
167	699	3462
168	700	3446
169	702	3428
170	703	3409
171	704	3390
172	705	3372
173	706	3353
174	707	3335
175	708	3317
176	709	3299
177	710	3281
178	711	3264
179	712	3247
180	713	3229
181	714	3213
182	716	3197
183	719	3192
184	721	3177
185	722	3161
186	723	3145
187	724	3129
188	725	3113
189	726	3097
190	728	3087
191	729	3071
192	730	3056
193	731	3040
194	732	3025
195	733	3010
196	734	2994
197	735	2979
198	736	2964
199	737	2949
200	738	2935
201	739	2920
202	740	2906
203	741	2892
204	742	2881
205	744	2869
206	745	2856
207	746	2842
208	747	2829
209	748	2815
210	749	2802
211	750	2789
212	751	2776
213	752	2763
214	753	2750
215	754	2738
216	755	2725
217	756	2712
218	757	2701
219	758	2689
220	759	2677
221	760	2665
222	761	2653
223	762	2640
224	763	2628
225	764	2617
226	765	2605
227	766	2593
228	766	2582
229	767	2570
230	768	2559
231	769	2548
232	770	2537
233	772	2527
234	772	2516
235	773	2505
236	774	2494
237	775	2483
238	776	2472
239	777	2462
240	778	2451
241	779	2441
242	780	2430
243	781	2420
244	782	2410
245	783	2400
246	784	2390
247	785	2380
248	785	2370
249	786	2360
250	787	2350
251	788	2341
252	789	2331
253	790	2321
254	791	2313
255	792	2304
256	793	2295
257	794	2286
258	795	2276
259	796	2267
260	797	2258
261	798	2249
262	799	2240
263	800	2231
264	801	2222
265	802	2214
266	803	2205
267	804	2196
268	805	2187
269	806	2179
270	806	2170
271	807	2162
272	808	2153
273	809	2145
274	810	2137
275	811	2128
276	812	2120
277	813	2113
278	815	2107
279	816	2100
280	818	2093
281	819	2085
282	820	2077
283	821	2070
284	822	2062
285	822	2054
286	823	2046
287	824	2038
288	825	2031
289	826	2023
