iter	Passed	Remaining
0	154	154122
1	155	77779
2	157	52230
3	159	39603
4	160	31942
5	161	26825
6	163	23158
7	165	20525
8	166	18305
9	167	16535
10	167	15075
11	170	14051
12	171	13029
13	172	12145
14	173	11375
15	174	10703
16	174	10102
17	175	9566
18	176	9090
19	176	8661
20	177	8275
21	178	7924
22	178	7599
23	179	7309
24	180	7036
25	181	6783
26	181	6552
27	183	6383
28	185	6203
29	186	6029
30	187	5852
31	187	5686
32	188	5532
33	189	5388
34	190	5248
35	191	5117
36	191	4992
37	192	4875
38	193	4762
39	193	4655
40	194	4555
41	195	4459
42	196	4367
43	196	4279
44	198	4220
45	199	4142
46	200	4067
47	201	3994
48	202	3925
49	203	3866
50	204	3800
51	204	3736
52	205	3674
53	206	3614
54	207	3560
55	207	3505
56	208	3451
57	209	3398
58	211	3379
59	213	3341
60	214	3298
61	215	3253
62	215	3212
63	216	3169
64	218	3137
65	218	3096
66	219	3057
67	220	3018
68	221	2982
69	221	2946
70	222	2911
71	223	2876
72	224	2845
73	225	2816
74	226	2795
75	227	2767
76	228	2738
77	229	2709
78	230	2682
79	230	2654
80	231	2631
81	232	2604
82	233	2575
83	233	2551
84	234	2526
85	235	2501
86	236	2478
87	236	2454
88	237	2434
89	240	2433
90	242	2423
91	243	2403
92	244	2382
93	245	2362
94	245	2342
95	247	2327
96	247	2307
97	248	2289
98	249	2270
99	250	2251
100	250	2233
101	251	2216
102	252	2200
103	253	2183
104	256	2182
105	257	2170
106	258	2155
107	259	2139
108	260	2126
109	261	2112
110	262	2100
111	263	2086
112	263	2071
113	264	2056
114	265	2043
115	266	2029
116	266	2014
117	267	2000
118	268	1986
119	271	1988
120	273	1984
121	273	1971
122	274	1958
123	275	1946
124	276	1936
125	277	1923
126	278	1911
127	278	1899
128	279	1888
129	280	1877
130	281	1865
131	281	1854
132	282	1842
133	283	1831
134	286	1832
135	287	1825
136	288	1817
137	289	1807
138	290	1797
139	291	1788
140	292	1779
141	292	1768
142	293	1759
143	294	1749
144	295	1739
145	295	1730
146	296	1721
147	297	1711
148	298	1702
149	298	1693
150	301	1696
151	303	1690
152	303	1682
153	304	1674
154	305	1666
155	306	1658
156	307	1651
157	308	1642
158	309	1634
159	309	1626
160	310	1616
161	311	1608
162	311	1600
163	312	1592
164	313	1585
165	314	1577
166	316	1580
167	318	1575
168	318	1568
169	319	1561
170	320	1554
171	321	1547
172	322	1542
173	323	1537
174	324	1530
175	325	1523
176	326	1517
177	327	1510
178	327	1503
179	328	1496
180	329	1489
181	332	1495
182	333	1490
183	334	1484
184	335	1477
185	336	1472
186	337	1467
187	338	1461
188	339	1455
189	340	1449
190	340	1443
191	341	1437
192	342	1430
193	342	1424
194	343	1418
195	344	1412
196	346	1410
197	347	1405
198	347	1400
199	349	1396
200	350	1392
201	350	1386
202	351	1380
203	352	1375
204	353	1370
